Key,Id,Korean(ko)
chap1d0t0,,깊은 어둠 속, 한 남자가 트럭에 치여 쓰러진다.
chap1d0t1,,이게... 끝인가?
chap1d1t0,,눈을 뜨자 천장이 보인다. 땀에 젖은 이마를 닦으며 일어난다.
chap1d1t1,,또 그 꿈이야... 전생의 기억이라니, 말도 안 돼.
chap1d1t2,,창밖으로 아침 햇살이 비친다. 오늘은 마법학교의 입학식 날이다.
chap1d1t3,,시간이 얼마 안 남았네. 서둘러야겠어.
chap1d1t4,,Player은(는) 급하게 준비를 마치고 학교로 향한다.
chap1d2t0,,학교 입구에는 수많은 신입생들이 모여 있다.
chap1d2t1,,와... 정말 많은 사람이 모였네.
chap1d2t2,,그때, 낯익은 얼굴이 눈에 들어온다.
chap1d2t3,,저기... 혹시... 너... Player 맞아?
chap1d2t4,,어? 소피아?
chap1d2t5,,맞구나! 정말 오랜만이야!
chap1d2t6,,그러게. 이렇게 다시 만나게 될 줄 이야. 어떻게 지냈어?
chap1d2t7,,잘 지냈어. 너는?
chap1d2t8,,나도 뭐, 그럭저럭.
chap1d2t9,,그래도 이렇게 만나니까 너무 좋다.
chap1d2t10,,어릴 적 종자였던 소피아와의 재회에 Player은(는) 반가움을 느낀다.
chap1d2t11,,그때, 웅장한 종소리가 울리고 입학식이 시작된다.
chap1d2t12,,신입생 여러분, 마법학교에 온 것을 환영합니다!
chap1d3t0,,입학식이 끝나고, 반 배정을 위한 마법 시연 시험이 진행된다.
chap1d3t1,,각자 자신 있는 마법을 한 번씩 시연해 주시기 바랍니다.
chap1d3t2,,Player은(는) 속으로 생각했다.
chap1d3t3,,마법 시연이라... 하지만 난 아직 기초도 잘 모르는데.
chap1d3t4,,Player은(는) 전생의 개발자였던 기억을 떠올린다.
chap1d3t5,,알고리즘과 마법의 원리가 비슷하다면... 내가 아는 걸 응용해 볼 수 있을지도.
chap1d3t6,,Player의 차례가 다가온다.
chap1d3t7,,다음, Player 학생입니다.
chap1d3t8,,네.
chap1d3t9,,Player은(는) 손을 내밀고 마력을 집중한다.
chap1d3t10,,분할정복 알고리즘처럼 마나를 효율적으로 분배하면...
chap1d3t11,,그의 손끝에서 복잡한 문양이 빛나며 강력한 바람이 일어난다.
chap1d3t12,,우와!
chap1d3t13,,저런 마법은 처음 봐!
chap1d3t14,,저 사람... 누구지?
chap1d3t15,,호오? 재미있는 걸.
chap1d3t16,,놀랍군요! 이 정도로 마나를 제어하다니.
chap1d3t17,,어... 감사합니다.
chap1d3t18,,Player은(는) 자신도 놀란 표정이다.
chap1d3t19,,다음은 세실리아의 차례다.
chap1d3t20,,자, 내 차례네!
chap1d3t21,,그녀는 화려한 불꽃 마법을 시연하며 모두의 시선을 사로잡는다.
chap1d3t22,,역시 황녀님!
chap1d3t23,,멋져!
chap1d3t24,,세실리아는 Player을(를) 보며 말한다.
chap1d3t25,,이 정도는 기본이지.
chap1d3t26,,엘리나가 조용히 앞으로 나선다.
chap1d3t27,,시작하겠습니다.
chap1d3t28,,그녀는 얼음과 바람을 조화롭게 결합한 마법을 선보인다.
chap1d3t29,,우와... 아름다워.
chap1d3t30,,역시 엘리나 공녀님이야.
chap1d3t31,,대단하네... 나보다 훨씬 뛰어나.
chap1d3t32,,마법 시연이 모두 끝나고, 반 배정 결과가 발표된다.
chap1d3t33,,Player, 엘리나, 세실리아, 소피아, 코코... 모두 A반입니다.
chap1d4t0,,예이! 다 같이 같은 반이네!
chap1d4t1,,
chap1d4t2,,너는 누구야?
chap1d4t3,,나는 코코야! 앞으로 잘 부탁해!
chap1d4t4,,안녕, 코코.
chap1d4t5,,코코는 밝고 활기찬 모습으로 모두에게 인사를 건넨다.
chap1d4t6,,수업이 끝나고, 세실리아와 엘리나가 이야기를 나눈다.
chap1d4t7,,
chap1d4t8,,엘리나, 그 Player(이)라는 애 좀 특이하지 않아?
chap1d4t9,,그렇네. 마나 제어 방식이 독특했어.
chap1d4t10,,흥, 하지만 나 만큼은 아니지.
chap1d4t11,,자신감은 여전하구나.
chap1d4t12,,그때, 세실리아가 Player에게 다가간다.
chap1d4t13,,너! 이름이 뭐였더라?
chap1d4t14,,아, Player(이)야.
chap1d4t15,,나는 세실리아야. 너, 우리 동아리에 들어올래?
chap1d4t16,,동아리?
chap1d4t17,,그래! 재미있는 거 많이 할 거야.
chap1d4t18,,음... 소피아도 함께라면.
chap1d4t19,,소피아? 뭐, 좋아.
chap1d4t20,,그때 코코가 갑자기 끼어든다.
chap1d4t21,,
chap1d4t22,,동아리라니! 나도 낄래!
chap1d4t23,,어디서 갑자기 나타난 거야?
chap1d4t24,,재미있는 건 놓칠 수 없지!
chap1d4t25,,동아리 부원은 다 모았어?
chap1d4t26,,어쩌다보니, 충분히 모았네!
chap1d4t27,,이렇게 해서 동아리가 결성되었다.
chap1d5t0,,Player은(는) 소피아와 함께 교정을 걷는다.
chap1d5t1,,오늘 정말 멋졌어.
chap1d5t2,,고마워. 너도 치료 마법 잘하던데?
chap1d5t3,,아니야, 아직 많이 부족해.
chap1d5t4,,그때, Player은(는) 어딘가에서 시선을 느낀다.
chap1d5t5,,이상하네... 누군가 우리를 지켜보는 것 같아.
chap1d5t6,,에? 아무도 없는 것 같은데...
chap1d5t7,,어둠 속에서 한 그림자가 미소를 짓는다.
chap1d6t0,,다음 날, 동아리 첫 모임이 시작된다.
chap1d7t0,,자, 앞으로 우리 동아리는 최고의 마법 동아리가 될 거야!
chap1d7t1,,우와! 그러면 우리 뭐부터 할까? 파티? 모험?
chap1d7t2,,일단 목표부터 정하는 게 좋겠어.
chap1d7t3,,동의해. 체계적으로 계획을 세우는 게 좋을 것 같아.
chap1d7t4,,음... 재미없게는 하지 말자고!
chap1d7t5,,소피아가 조용히 손을 들며 말한다.
chap1d7t6,,그럼, 서로의 특기를 살려서 협력하는 건 어때?
chap1d7t7,,좋아! 나는 분위기 메이커 담당!
chap1d7t8,,그게 특기라고 할 수 있을까?
chap1d7t9,,그래도 코코가 있으면 분위기가 밝아지니까.
chap1d7t10,,모두의 웃음소리가 교실에 울려 퍼진다.
chap1d7t11,,이렇게, 새로운 친구들과의 학교 생활이 시작되었다.
